,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
RFY_FY_S_02,12.17674043,3.278366451,-0.922807873,-0.243863438,-0.304712179,9.366482858,-6.668285952,-1.790859105,0.082161621,1.77625336,8.657303515,-1.199715876,1.441517779,-2.143540322,0.626846028,3.577775051,0.997221979,2.660624837,0.241164827,-7.438725474,-2.226992412,3.887169239,2.284585642,0.066483804,-0.028833585,0.183112109,-3.320238307,3.468002632,0.831186538,0.00848428
RFY_FY_S_03,12.90507105,3.207506541,0.157613955,0.220288668,-0.398474711,9.566780426,-8.27274725,-4.27160705,-0.438636124,1.581112421,6.66757605,0.020757834,-1.833225368,-2.293817773,0.949694447,4.020328735,2.277324302,-1.228358448,2.193494553,-8.601228496,-2.780653468,3.084511786,0.206224662,2.119976024,-1.510928544,-0.458518345,1.538173301,-2.572893105,-0.348617382,0.19865937
RGG_FY_S_01,18.96041344,4.116011727,-2.869158082,-3.6000056,-1.03653934,-5.851048069,3.48606527,1.978028022,-0.084137508,0.416379519,1.258815274,-0.357709684,-0.969622585,0.353278695,0.171706828,0.550285753,-0.52585053,3.715127194,-1.599143854,-1.205808291,0.991188223,-0.404758076,-0.069752444,-1.615282608,0.001018121,-0.421846921,0.840587932,-1.486552759,-0.304322985,-0.585369674
RGG_FY_S_02,18.31075295,3.940929201,-2.525522194,-3.327636371,-1.063170898,-5.366218671,3.037345109,1.537072878,-0.18673659,0.11840523,0.663335386,-0.160782262,-1.466199365,0.011399864,-0.116101852,-0.210675648,-0.779481042,3.701315321,-1.462038107,-0.717524428,0.301572929,0.106101745,0.353877369,-1.617724299,-0.394925111,-0.77328688,0.561304384,-0.700752532,0.094338955,-0.087775477
RGG_FY_S_03,18.17367216,4.059534688,-3.49000632,-3.753652545,-1.024425999,-5.915551799,4.619852508,3.646600427,-0.123938646,0.796942464,2.810278558,-0.991924846,2.266591997,0.05414027,0.402956046,-0.723429974,-1.387242512,6.795514315,-3.057685797,-0.57173764,1.526258252,0.558435551,0.346242027,-2.979252947,0.376595776,-0.670092941,0.703198664,0.482944882,-0.52700596,0.379408815
SNM_FY_S_01,18.42765508,3.815643466,-2.574986601,-3.255562393,-0.898924197,-4.9349753,2.880722613,1.694387194,0.04074322,0.038383319,1.862269507,-1.340966345,8.26764674,-0.546321354,-0.277749293,0.16483904,0.791348891,-6.350810418,2.120426244,1.363786896,-1.649397046,0.351529071,0.456431461,0.821449352,-0.426311846,-0.166447007,0.413884521,-0.550991955,-0.048252696,-0.46420464
SNM_FY_S_02,17.15326655,4.010329205,-3.398228949,-3.470865198,-0.845388311,-4.621197018,3.830842315,3.347550032,0.369095553,0.334109114,2.937112753,-1.730013697,9.928174178,-0.235772149,-0.342741371,-0.159624367,0.367042247,-4.030215272,1.116706848,1.284772997,-0.760162433,0.27977771,-0.127940657,1.006736447,-0.073732666,-0.082304856,-0.694723285,-0.429022087,-0.254287097,0.204492642
SNM_FY_S_03,19.23344055,4.03924336,-2.588025968,-3.588308994,-1.021781722,-5.622920367,3.270125751,1.909400962,-0.130750476,-0.069686813,1.561399956,-1.400623409,8.315846922,-0.357775332,-0.335783655,0.069694386,0.936115621,-6.2013478,1.828852328,1.10213777,-1.398335434,0.584981863,0.012391608,1.071416455,-0.084931158,-0.390477915,0.100432963,-0.346371597,-0.040352584,-0.253338584
TES_FY_S_01,18.87472252,4.142195002,-2.933315303,-3.535452447,-1.064901082,-5.305451654,3.233639835,1.691173931,0.114427253,0.192306472,1.291242656,-0.616752116,-0.306762907,-0.216765656,-0.195550794,-0.118553887,-0.382976355,1.934102461,-1.037568347,-0.55493038,-0.035230792,0.392414913,0.382437935,-0.638998418,-0.078189445,0.277933429,-0.00436495,-0.366375133,0.173598371,0.22448951
TES_FY_S_02,18.60785144,3.946147046,-2.564678692,-3.293575362,-0.942989835,-5.533947046,3.222272746,2.14518061,-0.156664975,0.206472687,0.73250075,-0.212659306,-0.857122322,-0.337622435,0.200645226,0.31092338,-0.484128678,3.04101186,-0.919851622,0.597617233,0.65812021,0.083808176,0.424169939,-1.2604434,-0.195277194,0.394068298,0.172796222,0.154182025,0.395008259,-0.158703689
TES_FY_S_03,19.44268138,4.111132869,-2.639885587,-3.440670854,-1.047013219,-5.899921169,3.213686763,1.716336135,-0.044605148,0.131693927,1.168192017,-0.126982591,-0.508983294,0.111879226,0.579362367,-0.035400347,-0.653342204,3.20192866,-1.330808192,-0.92213759,0.57602585,0.659088281,0.568775623,-1.572984462,-0.271231824,-0.949707493,0.707974552,-0.841893989,-0.36013054,0.150348765
